url,title,price,currency_symbol,marca,modelo,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
https://auto.mercadolibre.com.ar/mla-1118652783-audi-tt-2008-20-t-fsi-stronic-200cv-coupe-_jm#position=30&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,audi tt 2.0 t fsi stronic 200cv coupé,23000,u$s,audi,tt,2008,blanco,nafta,2,automática,2.0,coupé,69000,4439000
https://auto.mercadolibre.com.ar/mla-1118620022-audi-a5-30-quattro-sportback-stronic-2013-_jm#position=31&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,audi a5 sportback 3.0 tfsi 272cv stronic quattro,24990,u$s,audi,a5 sportback,2013,blanco,nafta,3,automática,3.0,hatchback,116000,4823070
https://auto.mercadolibre.com.ar/mla-1118431257-volkswagen-virtus-trendline-16-caja-manual-mos-a1-_jm#position=32&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen virtus 1.6 msi trendline,3799000,$,volkswagen,virtus,2020,dorado,nafta,4,manual,1.6,sedán,3001,3799000
https://auto.mercadolibre.com.ar/mla-1117921611-peugeot-3008-20-_jm#position=33&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,peugeot 3008 2.0 gt-line hdi tiptronic,5700000,$,peugeot,3008,2018,marrón,diésel,5,automática,2.0,suv,140000,5700000
https://auto.mercadolibre.com.ar/mla-1117558049-vw-passat-20tsi-luxury-dsg-2011-_jm#position=34&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen passat 2.0 tsi luxury dsg,2850000,$,volkswagen,passat,2011,azul,nafta,4,automática,2.0,sedán,125000,2850000
https://auto.mercadolibre.com.ar/mla-1117211001-smart-forfour-2018-10-passion-_jm#position=35&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,smart forfour 1.0 passion,2590500,$,smart,forfour,2018,naranja,nafta,5,manual,1.0,hatchback,34000,2590500
https://auto.mercadolibre.com.ar/mla-1127699088-chery-qq-10-light-ano-2019-_jm#position=36&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,chery chery qq 1.0 light security,1730000,$,chery,chery qq,2019,plateado,nafta,5,manual,1.0,hatchback,19500,1730000
https://auto.mercadolibre.com.ar/mla-1124940190-ford-focus-iii-20-se-plus-mt-_jm#position=37&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,ford focus iii 2.0 se plus mt,2530000,$,ford,focus iii,2014,dorado,nafta,5,manual,2.0,hatchback,62000,2530000
https://auto.mercadolibre.com.ar/mla-1116412463-volkswagen-passat-r-line-20-leandro-raiti-_jm#position=38&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen passat 2.0 tsi r-line 220cv,7500000,$,volkswagen,passat,2018,gris,nafta,4,automática,2.0,sedán,52400,7500000
https://auto.mercadolibre.com.ar/mla-1128137675-audi-s3-sportblack-20-t-s-tronic2010-_jm#position=39&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,audi s3 2.0 t fsi quattro stronic 255cv,25200,u$s,audi,s3,2010,blanco,nafta,5,automática,2.0,hatchback,73000,4863600
https://auto.mercadolibre.com.ar/mla-1116304259-ram-2500-laramie-4x4-automatica-_jm#position=40&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,dodge ram 2500 laramie 4x4,89000,u$s,dodge,ram,2021,azul,diésel,4,manual,1.4,hatchback,12000,17177000
https://auto.mercadolibre.com.ar/mla-1116300987-volkswagen-suran-16-trendline-2016-nafta-gnc-46655831-_jm#position=41&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen suran 1.6 trendline,2253900,$,volkswagen,suran,2016,rojo,nafta/gnc,5,manual,1.6,monovolumen,113000,2253900
https://auto.mercadolibre.com.ar/mla-1114978127-fiat-toro-freedom-18-4x2-at6-2021-my22-20km-fcio-tusado-_jm#position=42&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,fiat toro 1.8 freedom,5788000,$,fiat,toro,2021,rojo,nafta,4,automática,1.8,pick-up,1001,5788000
https://auto.mercadolibre.com.ar/mla-1114978117-fiat-toro-freedom-18-4x2-at6-2021-my22-20km-fcio-tusado-_jm#position=43&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,fiat toro 1.8 freedom,5788001,$,fiat,toro,2021,rojo,nafta,4,automática,1.8,pick-up,1001,5788001
