marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
mercedes-benz,2016,plateado,nafta,5,automática,1.6,hatchback,100000,13000000
bmw,2010,blanco,nafta,4,manual,2.5,sedán,123000,3190000
ford,2016,blanco,nafta,5,manual,1.6,hatchback,50000,2360000
bmw,2009,gris,nafta,4,manual,2.5,sedán,160000,2500000
mercedes-benz,2014,gris,nafta,5,automática,2.0,hatchback,133000,5550000
audi,2016,negro,nafta,5,automática,1.4,sedán,53200,4450000
chevrolet,2014,gris,diésel,5,manual,1.3,monovolumen,135000,2150000
volkswagen,2013,negro,nafta,5,manual,1.6,monovolumen,121000,2150000
ford,2021,gris,diésel,4,automática,3.2,pick-up,710,8570000
audi,2016,blanco,nafta,4,automática,2.0,sedán,74000,7180000
fiat,2015,blanco,nafta,3,manual,1.4,hatchback,47000,1530000
volkswagen,2015,negro,nafta/gnc,5,manual,1.6,monovolumen,167000,1700000
volkswagen,2018,blanco,nafta,4,manual,2.0,sedán,68500,6200000
toyota,2018,blanco,nafta,4,automática,1.5,sedán,53000,2800000
renault,2011,azul,gnc,5,manual,1.6,hatchback,148000,1510000
toyota,2012,blanco,diésel,4,manual,3.0,pick-up,86000,5150000
toyota,2016,plateado,nafta,4,manual,1.8,sedán,116000,2700000
toyota,2016,gris,nafta,4,manual,1.8,sedán,116000,2700000
volkswagen,2015,blanco,nafta,5,automática,1.4,hatchback,74000,3400000
toyota,2018,negro,nafta,5,automática,2.0,suv,62000,6490000
toyota,2017,rojo,nafta,4,automática,1.5,sedán,93000,2600000
volkswagen,2018,blanco,diésel,4,automática,2.0,pick-up,94000,7300000
peugeot,2017,rojo,nafta,3,manual,1.6,hatchback,100794,3500000
kia,2015,negro,nafta,5,automática,1.4,hatchback,80000,2350000
audi,2021,blanco,nafta,5,automática,1.5,hatchback,1000,9780000
hyundai,2013,rojo,nafta,2,automática,1.6,coupé,162000,2600000
ford,2010,dorado,diésel,2,manual,3.0,pick-up,140000,2350000
citroën,2018,blanco,nafta,5,manual,1.6,suv,36000,3300000
volvo,2010,negro,nafta,5,automática,3.0,suv,120400,3100000
audi,2021,rojo,nafta,5,automática,1.0,hatchback,1000,7980000
toyota,2017,blanco,nafta,4,automática,1.8,sedán,65000,3850000
toyota,2020,blanco,nafta,5,manual,1.5,hatchback,37800,4490000
volkswagen,2018,blanco,diésel,4,automática,2.0,pick-up,94000,7300000
ford,2021,negro,nafta,5,manual,1.5,hatchback,3900,3100000
renault,2013,gris,nafta,4,manual,2.0,sedán,113000,1750000
peugeot,2015,gris,nafta,5,manual,1.6,hatchback,85000,2500000
honda,2020,gris,nafta,5,automática,1.8,suv,29000,5980000
audi,2018,blanco,nafta,2,automática,2.0,coupé,40000,10980000
volkswagen,2019,blanco,diésel,4,automática,2.0,pick-up,110000,6900000
ford,2019,rojo,nafta,5,manual,1.5,suv,7800,3689900
renault,2018,blanco,nafta/gnc,5,manual,1.6,hatchback,69000,2200000
jeep,2022,blanco,nafta,5,automática,1.3,suv,1000,11000000
chery,2017,gris,nafta,3,manual,1.0,hatchback,36387,1700000
audi,2017,plateado,nafta,5,automática,1.4,suv,54000,6580000
volkswagen,2017,negro,nafta,5,manual,1.6,hatchback,86000,1350000
volkswagen,2020,plateado,nafta,5,manual,1.6,hatchback,21000,3290000
