url,title,price,currency_symbol,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros
https://auto.mercadolibre.com.ar/MLA-1132584286-chevrolet-tracker-ltz-automatico-awd-2017-autodrive-_JM#position=42&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Chevrolet Tracker 1.8 Ltz+ 140cv,3890000,$,Chevrolet,Tracker,2017,Blanco,Nafta,5,Automática,1.8,SUV,61000 km
https://auto.mercadolibre.com.ar/MLA-1132571885-volkswagen-fox-2017-16-confortline-_JM#position=43&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Fox 1.6 Comfortline,1200000,$,Volkswagen,Fox,2017,Negro,Nafta,5,Manual,1.6,Hatchback,86000 km
https://auto.mercadolibre.com.ar/MLA-1132613476-volkswagen-polo-trendline-2020-autodrive-_JM#position=44&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Polo 1.6 Msi Trendline,3290000,$,Volkswagen,Polo,2020,Plateado,Nafta,5,Manual,1.6,Hatchback,21000 km
https://auto.mercadolibre.com.ar/MLA-1132560570-kia-rio-ex-automatico-2019-autodrive-_JM#position=45&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Kia Rio 1.6 Ex 4at,3590000,$,Kia,Rio,2019,Azul,Nafta,5,Automática,1.6,Hatchback,28000 km
https://auto.mercadolibre.com.ar/MLA-1132595516-kia-cerato-gt-line-2020-autodrive-no-sx-no-corolla-gr-_JM#position=46&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Kia Cerato 2.0 Sx At6 4 p,4990000,$,Kia,Cerato,2020,Blanco,Nafta,4,Automática,2.0,Sedán,34000 km
https://auto.mercadolibre.com.ar/MLA-1132583573-ford-ecosport-2013-16-freestyle-110cv-4x2-_JM#position=47&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Ford Ecosport 1.6 Freestyle 110cv 4x2,2400000,$,Ford,Ecosport,2013,Naranja,Nafta,5,Manual,1.6,SUV,81000 km
https://auto.mercadolibre.com.ar/MLA-1132583392-volkswagen-suran-16-track-2017-nica-mano-_JM#position=48&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Suran 1.6 Track,2799000,$,Volkswagen,Suran,2017,Azul,Nafta,5,Manual,1.6,Monovolumen,50000 km
https://auto.mercadolibre.com.ar/MLA-1132559557-vw-volkswagen-amarok-2014-highline-pack-4x4-abasto-motors-_JM#position=1&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Volkswagen Amarok 2.0 Cd Tdi 4x4 Highline Pack C34,4890000,$,Volkswagen,Amarok,2014,Negro,Diésel,4,Manual,2.0,Pick-Up,135000 km
https://auto.mercadolibre.com.ar/MLA-1132540618-volkswagen-fox-trendline-no-gol-polo-cronos-argo-208-308-307-_JM#position=2&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Volkswagen Fox 1.6 Trendline Saf,1749900,$,Volkswagen,Fox,2014,Negro,Nafta,5,Manual,1.6,Hatchback,70000 km
https://auto.mercadolibre.com.ar/MLA-1132599010-honda-hr-v-2020-18-ex-2wd-cvt-l20-_JM#position=3&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Honda HR-V 1.8 Ex 2wd Cvt l20,31900,U$S,Honda,HR-V,2020,Gris,Nafta,5,Automática,1.8,SUV,29000 km
https://auto.mercadolibre.com.ar/MLA-1132565793-volkswagen-t-cross-comfortline-automatica-no-taos-nivus-ecos-_JM#position=4&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Volkswagen T-Cross 1.6 Comfortline At,4789900,$,Volkswagen,T-Cross,2019,Blanco,Nafta,5,Automática,1.6,SUV,49000 km
https://auto.mercadolibre.com.ar/MLA-1132576937-ford-fiesta-kinetic-design-titanium-full-cuero-techo-no-polo-_JM#position=5&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Ford Fiesta Kinetic Design 1.6 Titanium 120cv,2389900,$,Ford,Fiesta Kinetic Design,2015,Blanco,Nafta,5,Manual,1.6,Hatchback,92000 km
https://auto.mercadolibre.com.ar/MLA-1132552701-fiat-500c-lounge-2015-14-automatico-cabrio-smart-garage-_JM#position=6&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Fiat 500C 1.4 Mulitair Lounge 105cv,14800,U$S,Fiat,500C,2015,Blanco,Nafta,3,Manual,1.4,Cabriolet,65000 km
https://auto.mercadolibre.com.ar/MLA-1132558636-volkswagen-amarok-20-cd-tdi-180cv-4x2-trendline-b33-_JM#position=7&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Trendline B33,4300000,$,Volkswagen,Amarok,2015,Negro,Diésel,4,Manual,2.0,Pick-Up,140000 km
https://auto.mercadolibre.com.ar/MLA-1132546387-honda-civic-exs-at-2011-135000kms-automatico-autoinfinity-_JM#position=8&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Honda Civic 1.8 Exs At,1990000,$,Honda,Civic,2011,Gris,Nafta,4,Automática,1.8,Sedán,135000 km
https://auto.mercadolibre.com.ar/MLA-1132534886-citron-c4-lounge-16-exclusive-6at-thp-163cv-am16-lucas-s-_JM#position=9&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Citroën C4 Lounge 1.6 Exclusive 6at Thp 163cv Am16,2150000,$,Citroën,C4 Lounge,2015,Blanco,Nafta,4,Automática,1.6,Sedán,86000 km
https://auto.mercadolibre.com.ar/MLA-1132534782-jeep-grand-cherokee-overland-2014-_JM#position=10&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Jeep Grand Cherokee 3.6 Overland 286hp At,44000,U$S,Jeep,Grand Cherokee,2014,Gris,Nafta,5,Automática,3.6,SUV,38000 km
https://auto.mercadolibre.com.ar/MLA-1132564783-peugeot-208-gt-16-thp-turbo-no-polo-gts-gti-golf-cruze-argo-_JM#position=11&search_layout=grid&type=item&tracking_id=8c9f71bb-223c-4cbc-adba-9b7edaf6871a,Peugeot 208 1.6 Gt Thp,2799900,$,Peugeot,208,2016,Negro,Nafta,5,Manual,1.6,Hatchback,89000 km
